id,en,zh,level,source
v0001,say,說,1,ecdict-v1
v0002,get,得到,1,ecdict-v1
v0003,make,製造,1,ecdict-v1
v0004,know,知道,1,ecdict-v1
v0005,one,一,1,ecdict-v1
v0006,time,時間,1,ecdict-v1
v0007,year,年,1,ecdict-v1
v0008,think,想,1,ecdict-v1
v0009,people,人,1,ecdict-v1
v0010,take,拿,1,ecdict-v1
v0011,see,看見,1,ecdict-v1
v0012,come,過來,1,ecdict-v1
v0013,now,現在,1,ecdict-v1
v0014,like,相似的,1,ecdict-v1
v0015,two,二,1,ecdict-v1
v0016,more,更多,1,ecdict-v1
v0017,want,需要的東西,1,ecdict-v1
v0018,way,路,1,ecdict-v1
v0019,look,一看,1,ecdict-v1
v0020,first,首先,1,ecdict-v1
v0021,new,新的,1,ecdict-v1
v0022,day,天,1,ecdict-v1
v0023,use,使用,1,ecdict-v1
v0024,man,男人,1,ecdict-v1
v0025,find,發現,1,ecdict-v1
v0026,thing,事物,1,ecdict-v1
v0027,give,彈性,1,ecdict-v1
v0028,many,多數,1,ecdict-v1
v0029,well,井,1,ecdict-v1
v0030,tell,告訴,1,ecdict-v1
v0031,back,後面的,1,ecdict-v1
v0032,good,善行,1,ecdict-v1
v0033,woman,女人,1,ecdict-v1
v0034,life,生活,1,ecdict-v1
v0035,child,孩子,1,ecdict-v1
v0036,work,工作,1,ecdict-v1
v0037,call,呼叫,1,ecdict-v1
v0038,world,世界,1,ecdict-v1
v0039,school,學校,1,ecdict-v1
v0040,try,嘗試,1,ecdict-v1
v0041,last,最後的,1,ecdict-v1
v0042,ask,問,1,ecdict-v1
v0043,need,需要,1,ecdict-v1
v0044,feel,感覺,1,ecdict-v1
v0045,three,三,1,ecdict-v1
v0046,state,州,1,ecdict-v1
v0047,never,從不,1,ecdict-v1
v0048,become,變成,1,ecdict-v1
v0049,high,高度,1,ecdict-v1
v0050,something,某事,1,ecdict-v1
v0051,really,實際上,1,ecdict-v1
v0052,most,最多,1,ecdict-v1
v0053,another,另外的,1,ecdict-v1
v0054,much,大量,1,ecdict-v1
v0055,family,家庭,1,ecdict-v1
v0056,own,自己的,1,ecdict-v1
v0057,leave,許可,1,ecdict-v1
v0058,put,放,1,ecdict-v1
v0059,old,以前,1,ecdict-v1
v0060,mean,低劣的,1,ecdict-v1
v0061,keep,生計,1,ecdict-v1
v0062,student,學生,1,ecdict-v1
v0063,let,讓,1,ecdict-v1
v0064,great,大的,1,ecdict-v1
v0065,same,相同的,1,ecdict-v1
v0066,group,團體,1,ecdict-v1
v0067,begin,開始,1,ecdict-v1
v0068,seem,象是,1,ecdict-v1
v0069,country,國家,1,ecdict-v1
v0070,help,幫忙,1,ecdict-v1
v0071,talk,談話,1,ecdict-v1
v0072,turn,轉彎,1,ecdict-v1
v0073,problem,問題,1,ecdict-v1
v0074,start,驚起,1,ecdict-v1
v0075,hand,手,1,ecdict-v1
v0076,show,顯示,1,ecdict-v1
v0077,part,部分,1,ecdict-v1
v0078,place,地方,1,ecdict-v1
v0079,few,很少的,1,ecdict-v1
v0080,case,情形,1,ecdict-v1
v0081,week,星期,1,ecdict-v1
v0082,company,公司,1,ecdict-v1
v0083,system,系統,1,ecdict-v1
v0084,right,權利,1,ecdict-v1
v0085,program,節目,1,ecdict-v1
v0086,hear,聽到,1,ecdict-v1
v0087,play,遊戲,1,ecdict-v1
v0088,government,政府,1,ecdict-v1
v0089,run,跑,1,ecdict-v1
v0090,small,小的,1,ecdict-v1
v0091,number,數,1,ecdict-v1
v0092,always,總是,1,ecdict-v1
v0093,move,移動,1,ecdict-v1
v0094,night,夜,1,ecdict-v1
v0095,live,活的,1,ecdict-v1
v0096,point,點,1,ecdict-v1
v0097,believe,相信,1,ecdict-v1
v0098,hold,把握,1,ecdict-v1
v0099,today,今天,1,ecdict-v1
v0100,bring,帶來,1,ecdict-v1
v0101,happen,發生,1,ecdict-v1
v0102,next,下一個,1,ecdict-v1
v0103,million,百萬,1,ecdict-v1
v0104,home,家,1,ecdict-v1
v0105,water,水,1,ecdict-v1
v0106,room,房間,1,ecdict-v1
v0107,write,書寫,1,ecdict-v1
v0108,mother,母親,1,ecdict-v1
v0109,area,區域,1,ecdict-v1
v0110,national,國家的,1,ecdict-v1
v0111,money,金錢,1,ecdict-v1
v0112,story,故事,1,ecdict-v1
v0113,young,年輕的,1,ecdict-v1
v0114,fact,事實,1,ecdict-v1
v0115,month,月,1,ecdict-v1
v0116,different,不同的,1,ecdict-v1
v0117,lot,運氣,1,ecdict-v1
v0118,study,學習,1,ecdict-v1
v0119,book,書,1,ecdict-v1
v0120,eye,眼睛,1,ecdict-v1
v0121,word,話,1,ecdict-v1
v0122,business,生意,1,ecdict-v1
v0123,four,四,1,ecdict-v1
v0124,issue,發行,1,ecdict-v1
v0125,side,旁邊,1,ecdict-v1
v0126,kind,種類,1,ecdict-v1
v0127,head,頭,1,ecdict-v1
v0128,far,遠的,1,ecdict-v1
v0129,black,黑色,1,ecdict-v1
v0130,long,長的,1,ecdict-v1
v0131,little,一點點,1,ecdict-v1
v0132,house,房子,1,ecdict-v1
v0133,provide,提供,1,ecdict-v1
v0134,service,服務,1,ecdict-v1
v0135,friend,朋友,1,ecdict-v1
v0136,important,重要的,1,ecdict-v1
v0137,father,父親,1,ecdict-v1
v0138,sit,坐,1,ecdict-v1
v0139,away,離去,1,ecdict-v1
v0140,power,力,1,ecdict-v1
v0141,hour,小時,1,ecdict-v1
v0142,game,比賽,1,ecdict-v1
v0143,often,時常,1,ecdict-v1
v0144,line,列,1,ecdict-v1
v0145,political,政治的,1,ecdict-v1
v0146,end,結束,1,ecdict-v1
v0147,ever,曾經,1,ecdict-v1
v0148,stand,站立,1,ecdict-v1
v0149,bad,壞的,1,ecdict-v1
v0150,lose,遺失,1,ecdict-v1
v0151,however,然而,1,ecdict-v1
v0152,member,成員,1,ecdict-v1
v0153,pay,薪資,1,ecdict-v1
v0154,law,法律,1,ecdict-v1
v0155,meet,會,1,ecdict-v1
v0156,car,汽車,1,ecdict-v1
v0157,city,城市,1,ecdict-v1
v0158,almost,幾乎,1,ecdict-v1
v0159,include,包括,1,ecdict-v1
v0160,continue,繼續,1,ecdict-v1
v0161,set,日落,1,ecdict-v1
v0162,later,以後,1,ecdict-v1
v0163,community,社群,1,ecdict-v1
v0164,name,名字,1,ecdict-v1
v0165,five,五,1,ecdict-v1
v0166,once,一次,1,ecdict-v1
v0167,white,白色,1,ecdict-v1
v0168,least,最少,1,ecdict-v1
v0169,president,總統,1,ecdict-v1
v0170,real,真的,1,ecdict-v1
v0171,change,變化,1,ecdict-v1
v0172,team,隊,1,ecdict-v1
v0173,minute,分,1,ecdict-v1
v0174,best,最好的,1,ecdict-v1
v0175,several,幾個的,1,ecdict-v1
v0176,idea,主意,1,ecdict-v1
v0177,kid,小山羊,1,ecdict-v1
v0178,body,身體,1,ecdict-v1
v0179,information,訊息,1,ecdict-v1
v0180,nothing,無,1,ecdict-v1
