id	en	zh
v0001	I can't say.	我不能說。
v0002	Get serious.	認真點。
v0003	Make a list.	列一個列表。
v0004	Yes, I know.	是的，我知道。
v0005	No one came.	沒有人來了。
v0006	I have time.	我有時間。
v0007	Happy New Year!	新年快樂！
v0008	Let me think.	讓我想一想。
v0009	We're people.	我們是人。
v0010	Take a peek!	瞧瞧吧！
v0011	I can't see!	我看不見啊！
v0012	Please come.	請來吧。
v0013	Run off now!	落跑吧！
v0014	I like fish.	我喜歡魚。
v0015	Two women sing.	兩個女人唱著歌。
v0016	I want more.	我想要更多。
v0017	I want more.	我想要更多。
v0018	Take his way.	採用他的方法。
v0019	Look around.	四處看看。
v0020	Ladies first.	女士優先。
v0021	What is new?	有什麼新鮮事嗎？
v0022	All day long.	一整天。
v0023	Use caution.	小心！
v0024	Man is mortal.	人固有一死。
v0025	Can you find it?	你能找到它嗎？
v0026	Hide that thing.	把那個東西藏起來。
v0027	Give me five!	擊掌！
v0028	Many thanks.	非常感謝！
v0029	Is Tom well?	湯姆還好吧？
v0030	Tell us more.	告訴我們多一點。
v0031	Welcome back.	歡迎回來。
v0032	That's good.	很好！
v0033	I'm a woman.	我是女人。
v0034	Life is fun.	人生是有趣的。
v0035	Be a good child!	做個好孩子！
v0036	Work slowly.	幹活慢點。
v0037	Call me Tom!	叫我湯姆吧！
v0038	Hello, world!	你好，世界！
v0039	How's school?	學校怎麼樣？
v0040	I'll try it.	我試試。
v0041	Betty came last.	貝蒂是最後一個來的。
v0042	Just ask Tom.	問問湯姆吧。
v0043	I need help.	我需要幫助。
v0044	I feel cold.	我覺得冷。
v0045	Gimme three.	給我來仨。
v0046	I am the State!	朕即國家！
v0047	I never lie.	我從不說謊。
v0048	I can become angry.	我會生氣。
v0049	Prices are high.	價格高。
v0050	Do something!	做點什麼吧！
v0051	It really works.	真的有用。
v0052	Most people think so.	大部分的人是這麼想的。
v0053	Get another chair.	再拿一把椅子。
v0054	How much more?	還要多少？
v0055	We're a family.	我們是個家庭。
v0056	I own a horse.	我擁有一匹馬。
v0057	Don't leave!	別走！
v0058	Put it down.	放下。
v0059	I'm not old.	我不老。
v0060	What do you mean?	你是什麼意思？
v0061	Keep trying.	繼續努力。
v0062	I'm a student.	我是學生。
v0063	Let me know.	讓我知道。
v0064	That's great.	那真是太好了。
v0065	It's all the same.	都一樣。
v0066	What's your blood group?	你的血型是什麼？
v0067	Let's begin.	讓我們開始吧。
v0068	You seem busy.	你好像很忙。
v0069	I love my country.	我愛我的祖國。
v0070	I need help.	我需要幫助。
v0071	Do you talk?	你說嗎?
v0072	Turn it off.	把它關掉。
v0073	No problem at all!	什麼問題都沒有！
v0074	Let's start!	讓我們開始吧。
v0075	Shake my hand.	和我握手。
v0076	Show him in.	讓他進來。
v0077	So take part!	快來參加吧！
v0078	I like that place.	我喜歡那個地方。
v0079	Buy a few apples.	買幾顆蘋果。
v0080	The case is closed.	結案了。
v0081	Until next week.	直到下週。
v0082	You've got company.	你已經有人陪伴了。
v0083	The system worked.	系統執行起來了。
v0084	Is he right?	他對嗎？
v0085	This program is a rerun.	這個節目是重播。
v0086	I can hear it.	我聽得到。
v0087	I play alone.	我獨自玩。
v0088	Keep religion out of government.	別讓宗教影響政府。
v0089	Run off now!	落跑吧！
v0090	It's too small.	太小了。
v0091	What's the number?	電話號碼是多少？
v0092	I'm always busy.	我總是有事。
v0093	I can't move.	我動不了。
v0094	I'm a night owl.	我是個夜貓子。
v0095	I live here.	我住在這。
v0096	That's the point.	這正是問題的關鍵。
v0097	I believe you.	我相信你。
v0098	Can't hold it in.	俺不中嘞。
v0099	Today was fun.	今天很有趣。
v0100	Bring him in.	帶他進來。
v0101	Accidents happen.	事故發生。
v0102	Who is next?	下一個是誰？
v0103	It left 60 million dead.	總共造成 6000 萬人死亡。
v0104	I'm at home.	我在家。
v0105	Drink water.	喝水。
v0106	Clean the room.	打掃房間。
v0107	Do you write?	你寫嗎?
v0108	My dear mother.	我親愛的媽媽
v0109	The area was quiet.	這地區很安靜。
v0110	It was a national scandal.	這是一件全國性的醜聞。
v0111	Money talks.	金錢萬能。
v0112	I doubt his story.	我懷疑他的故事。
v0113	He looks young.	他看起來很年輕。
v0114	In fact she lied.	事實上，她撒慌了。
v0115	What month is this?	這個月是幾月？
v0116	We're very different.	我們很不一樣。
v0117	That's a lot!	很多!
v0118	Don't study.	你不要學習了。
v0119	It is a book.	是一本書。
v0120	My eye hurts.	我的眼睛疼。
v0121	I give my word.	我保證。
v0122	It's business.	公事公辦。
v0123	You have four dogs.	你有四隻狗。
v0124	This is a serious issue.	這個問題很嚴重。
v0125	I'm on your side.	我支援你。
v0126	She is kind.	她很好。
v0127	My head aches.	我頭痛。
v0128	So far, so good.	迄今，一切妥當。
v0129	Is it black?	那是黑色的嗎？
v0130	All day long.	一整天。
